;updated;high;low;open;close;volume;average
877;1610830800;36860.67;33854.83;36025.26;35839.51;50913.3;35357.75
878;1610744400;37942.44;35395.88;36790.17;36025.26;54226.28;36669.16
879;1610658000;39695.43;34396.19;39155.58;36790.17;89468.27;37045.81
880;1610571600;40093.43;36751.89;37380.85;39155.58;74972.21;38422.66
881;1610485200;37809.67;32405.89;34058.4;37380.85;91979.17;35107.78
882;1610398800;36620.28;32522.98;35496.03;34058.4;115232.53;34571.63
883;1610312400;38266.42;30308.4;38202.08;35496.03;240328.0;34287.41
884;1610226000;41427.88;35283.65;40236.66;38202.08;103220.32;38355.765
885;1610139600;41400.48;38783.61;40636.24;40236.66;55591.28;40092.045
886;1610053200;41964.96;36640.51;39479.41;40636.24;118077.27;39302.735
887;1609966800;40365.87;36340.01;36849.86;39479.41;124086.76;38352.94
888;1609880400;36973.76;33404.2;34038.29;36849.86;108190.73;35188.98
889;1609794000;34487.44;29985.29;32030.55;34038.29;93735.47;32236.365
890;1609707600;33622.7;28493.29;33063.48;32030.55;124909.68;31057.995
891;1609621200;34789.34;32010.59;32203.64;33063.48;93510.99;33399.965
892;1609534800;33257.29;29036.26;29388.94;32203.64;119214.75;31146.775
893;1609448400;29666.33;28748.21;28972.4;29388.94;50841.73;29207.27
894;1609362000;29301.67;27957.13;28889.61;28972.4;66915.03;28629.4
895;1609275600;28990.2;27360.09;27360.78;28889.61;70752.88;28175.145
896;1609189200;27383.6;25864.25;27039.45;27360.78;55477.49;26623.925
897;1609102800;27461.63;26085.96;26249.27;27039.45;52027.49;26773.795
898;1609016400;28340.08;25805.96;26445.7;26249.27;91052.09;27073.02
899;1608930000;26780.61;24494.27;24707.98;26445.7;62923.13;25637.44
900;1608843600;24776.64;23417.43;23724.2;24707.98;49655.15;24097.035
901;1608757200;23778.56;22716.45;23239.5;23724.2;39804.23;23247.505
902;1608670800;24082.98;22641.37;23823.32;23239.5;66161.63;23362.175
903;1608584400;23833.23;22378.26;22727.13;23823.32;49685.46;23105.745
904;1608498000;24077.7;22015.91;23467.06;22727.13;75934.38;23046.805
905;1608411600;24252.16;23095.72;23844.72;23467.06;42981.99;23673.94
906;1608325200;24114.51;22755.03;23135.57;23844.72;53911.52;23434.77
907;1608238800;23271.54;22345.87;22822.17;23135.57;59658.48;22808.705
908;1608152400;23698.98;21240.41;21352.13;22822.17;140483.08;22469.695
909;1608066000;21527.36;19299.86;19441.96;21352.13;95374.74;20413.61
910;1607979600;19553.23;19060.06;19274.69;19441.96;42331.4;19306.645
911;1607893200;19339.6;19001.22;19169.05;19274.69;23827.71;19170.41
912;1607806800;19414.65;18733.67;18814.98;19169.05;30902.88;19074.16
913;1607720400;18948.78;18033.05;18034.86;18814.98;26150.36;18490.915
914;1607634000;18295.1;17598.13;18250.47;18034.86;45166.17;17946.614999999998
915;1607547600;18554.32;17920.56;18549.92;18250.47;37500.96;18237.44
916;1607461200;18639.24;17669.15;18323.52;18549.92;57997.45;18154.195
917;1607374800;19295.38;18227.31;19181.41;18323.52;46151.65;18761.345
918;1607288400;19411.51;18909.97;19378.94;19181.41;24908.46;19160.74
919;1607202000;19417.33;18885.88;19156.84;19378.94;21172.5;19151.605000000003
920;1607115600;19178.4;18514.92;18665.0;19156.84;20517.48;18846.66
921;1607029200;19541.62;18603.79;19448.44;18665.0;42234.35;19072.705
922;1606942800;19608.49;18888.12;19226.19;19448.44;38699.87;19248.305
923;1606856400;19337.16;18350.0;18792.03;19226.19;47787.81;18843.58
924;1606770000;19911.79;18194.17;19686.87;18792.03;91108.23;19052.98
925;1606683600;19850.23;18199.03;18199.23;19686.87;77985.3;19024.63
926;1606597200;18347.24;17543.55;17739.9;18199.23;27161.16;17945.395
927;1606510800;17893.95;16895.0;17155.0;17739.9;34697.03;17394.475
928;1606424400;17479.12;16462.87;17175.86;17155.0;61052.47;16970.995
929;1606338000;18907.31;16270.37;18725.76;17175.86;129609.34;17588.84
930;1606251600;19488.81;18519.89;19157.16;18725.76;59989.48;19004.35
931;1606165200;19419.49;18117.78;18385.74;19157.16;74142.3;18768.635
932;1606078800;18761.66;18010.51;18430.59;18385.74;48994.17;18386.085
933;1605992400;18757.55;17635.18;18704.06;18430.59;43464.62;18196.365
934;1605906000;18966.12;18359.06;18672.78;18704.06;37702.81;18662.59
935;1605819600;18814.87;17764.07;17824.64;18672.78;51122.68;18289.47
936;1605733200;18172.87;17365.08;17786.27;17824.64;48224.86;17768.975
937;1605646800;18466.1;17260.91;17681.54;17786.27;80691.42;17863.504999999997
938;1605560400;17857.37;16563.5;16721.46;17681.54;62123.13;17210.434999999998
939;1605474000;16876.48;15877.77;15964.7;16721.46;41641.22;16377.125
940;1605387600;16156.82;15796.03;16075.95;15964.7;17966.53;15976.425
941;1605301200;16334.29;15720.61;16332.85;16075.95;28331.05;16027.45
942;1605214800;16482.62;15975.8;16306.53;16332.85;42676.28;16229.21
943;1605128400;16348.99;15476.25;15707.08;16306.53;67322.57;15912.62
944;1605042000;15983.03;15288.76;15313.73;15707.08;45852.83;15635.895
945;1604955600;15476.99;15099.11;15335.03;15313.73;23031.66;15288.05
946;1604869200;15812.23;14833.13;15488.25;15335.03;32088.79;15322.68
947;1604782800;15653.89;14739.11;14838.16;15488.25;18706.65;15196.5
948;1604696400;15765.02;14427.34;15590.62;14838.16;25695.27;15096.18
949;1604610000;15948.88;15219.57;15599.92;15590.62;34543.56;15584.225
950;1604523600;15739.47;14114.37;14157.73;15599.92;42121.25;14926.92
951;1604437200;14258.9;13539.13;14023.78;14157.73;30406.02;13899.015
952;1604350800;14071.54;13300.84;13571.24;14023.78;21969.7;13686.19
953;1604264400;13828.48;13221.65;13761.72;13571.24;33465.17;13525.065
954;1604178000;13897.02;13630.22;13803.41;13761.72;20841.63;13763.62
955;1604091600;14077.8;13432.24;13565.95;13803.41;43579.77;13755.02
956;1604005200;13674.89;13132.53;13462.18;13565.95;56364.21;13403.71
957;1603918800;13643.6;12985.56;13285.97;13462.18;41497.54;13314.58
958;1603832400;13855.57;12906.15;13646.02;13285.97;32501.89;13380.86
959;1603746000;13783.14;13060.64;13069.43;13646.02;44978.37;13421.89
960;1603659600;13241.79;12797.05;13041.21;13069.43;35322.99;13019.42
961;1603573200;13346.7;12910.39;13126.13;13041.21;28208.48;13128.545
962;1603486800;13167.31;12886.47;12937.2;13126.13;20932.05;13026.89
963;1603400400;13031.82;12732.62;12990.25;12937.2;32269.84;12882.22
964;1603314000;13197.69;12700.74;12813.11;12990.25;57124.85;12949.215
965;1603227600;13236.39;11900.51;11921.78;12813.11;103080.18;12568.45
966;1603141200;12047.73;11688.39;11756.88;11921.78;48504.61;11868.06
967;1603054800;11821.95;11417.11;11513.33;11756.88;39224.67;11619.53
968;1602968400;11513.68;11357.25;11367.65;11513.33;11528.41;11435.465
969;1602882000;11410.01;11270.69;11326.25;11367.65;9901.25;11340.35
970;1602795600;11545.35;11224.89;11508.31;11326.25;29300.16;11385.12
971;1602709200;11607.59;11269.05;11429.3;11508.31;33044.49;11438.32
972;1602622800;11550.25;11298.88;11427.29;11429.3;22758.2;11424.565
973;1602536400;11561.69;11314.56;11539.76;11427.29;33529.75;11438.125
974;1602450000;11725.28;11223.99;11375.51;11539.76;41705.77;11474.635
975;1602363600;11434.1;11284.09;11301.57;11375.51;17795.07;11359.095
976;1602277200;11485.43;11057.98;11058.78;11301.57;26181.83;11271.705
977;1602190800;11109.32;10839.3;10929.4;11058.78;32665.61;10974.31
978;1602104400;10957.42;10541.2;10672.67;10929.4;39280.36;10749.31
979;1602018000;10679.76;10554.41;10603.9;10672.67;19601.45;10617.085
980;1601931600;10801.66;10533.32;10795.11;10603.9;30869.62;10667.49
981;1601845200;10799.53;10627.77;10675.52;10795.11;23891.17;10713.65
982;1601758800;10699.94;10534.5;10552.04;10675.52;10487.7;10617.22
983;1601672400;10602.28;10507.49;10576.64;10552.04;10469.92;10554.885
984;1601586000;10668.49;10388.07;10622.79;10576.64;33798.95;10528.28
985;1601499600;10926.47;10454.66;10779.42;10622.79;39457.33;10690.565
986;1601413200;10850.12;10666.17;10841.29;10779.42;29556.58;10758.145
987;1601326800;10863.02;10641.03;10699.0;10841.29;31167.43;10752.025
988;1601240400;10951.6;10649.18;10781.47;10699.0;32269.15;10800.39
989;1601154000;10810.35;10612.42;10734.23;10781.47;13820.35;10711.385
990;1601067600;10822.99;10658.15;10694.12;10734.23;13794.51;10740.57
991;1600981200;10762.38;10562.14;10742.98;10694.12;33843.79;10662.259999999998
